angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.01,,[801 175 369 369],,0.0,,0.02,,0.0,,0.91,,0.05,,0.0,
0.01,,[802 175 368 368],,0.0,,0.02,,0.0,,0.92,,0.04,,0.01,
0.01,,[802 175 368 368],,0.0,,0.02,,0.0,,0.92,,0.04,,0.01,
0.01,,[798 171 376 376],,0.0,,0.02,,0.0,,0.9,,0.06,,0.01,
0.01,,[797 171 378 378],,0.0,,0.02,,0.0,,0.89,,0.06,,0.01,
0.01,,[795 170 380 380],,0.0,,0.02,,0.0,,0.9,,0.06,,0.01,
0.01,,[795 170 380 380],,0.0,,0.02,,0.0,,0.9,,0.06,,0.01,
0.01,,[795 170 380 380],,0.0,,0.02,,0.0,,0.9,,0.06,,0.01,
0.01,,[793 169 382 382],,0.0,,0.03,,0.0,,0.88,,0.07,,0.01,
0.01,,[793 169 382 382],,0.0,,0.03,,0.0,,0.89,,0.06,,0.01,
0.01,,[791 171 380 380],,0.0,,0.02,,0.0,,0.88,,0.07,,0.01,
0.01,,[792 171 379 379],,0.0,,0.03,,0.0,,0.89,,0.06,,0.01,
0.01,,[792 171 379 379],,0.0,,0.03,,0.0,,0.89,,0.06,,0.01,
0.01,,[790 172 378 378],,0.0,,0.02,,0.0,,0.9,,0.06,,0.01,
0.02,,[791 173 377 377],,0.0,,0.02,,0.0,,0.9,,0.06,,0.01,
0.01,,[788 173 379 379],,0.0,,0.01,,0.0,,0.92,,0.05,,0.01,
0.01,,[789 174 377 377],,0.0,,0.01,,0.0,,0.92,,0.05,,0.01,
0.01,,[789 174 377 377],,0.0,,0.01,,0.0,,0.92,,0.05,,0.01,
0.01,,[787 175 375 375],,0.0,,0.01,,0.0,,0.93,,0.04,,0.01,
0.01,,[787 175 375 375],,0.0,,0.01,,0.0,,0.93,,0.04,,0.01,
0.01,,[789 175 375 375],,0.0,,0.02,,0.0,,0.93,,0.04,,0.01,
0.01,,[790 175 373 373],,0.0,,0.02,,0.0,,0.91,,0.05,,0.01,
0.01,,[790 175 373 373],,0.0,,0.02,,0.0,,0.91,,0.05,,0.01,
0.01,,[785 175 377 377],,0.0,,0.01,,0.0,,0.93,,0.04,,0.01,
0.01,,[786 175 376 376],,0.0,,0.02,,0.0,,0.92,,0.05,,0.01,
0.01,,[788 176 374 374],,0.0,,0.02,,0.0,,0.91,,0.06,,0.01,
0.01,,[788 176 374 374],,0.0,,0.02,,0.0,,0.91,,0.06,,0.01,
0.01,,[788 176 374 374],,0.0,,0.02,,0.0,,0.91,,0.06,,0.01,
0.01,,[790 173 376 376],,0.0,,0.03,,0.0,,0.89,,0.05,,0.02,
0.01,,[790 173 376 376],,0.0,,0.03,,0.0,,0.89,,0.05,,0.02,
0.01,,[789 172 379 379],,0.0,,0.02,,0.0,,0.9,,0.06,,0.0,
0.01,,[788 173 379 379],,0.0,,0.01,,0.0,,0.93,,0.04,,0.0,
0.01,,[788 173 379 379],,0.0,,0.01,,0.0,,0.93,,0.04,,0.0,
0.02,,[788 172 379 379],,0.0,,0.02,,0.0,,0.9,,0.06,,0.01,
0.02,,[788 172 380 380],,0.0,,0.01,,0.0,,0.9,,0.06,,0.0,
0.01,,[787 172 381 381],,0.0,,0.01,,0.0,,0.92,,0.05,,0.0,
0.01,,[787 172 381 381],,0.0,,0.01,,0.0,,0.92,,0.05,,0.0,
0.01,,[787 172 381 381],,0.0,,0.01,,0.0,,0.92,,0.05,,0.0,
0.01,,[787 174 378 378],,0.0,,0.01,,0.0,,0.92,,0.05,,0.01,
0.01,,[787 174 378 378],,0.0,,0.01,,0.0,,0.92,,0.05,,0.01,
0.01,,[787 173 379 379],,0.0,,0.01,,0.0,,0.92,,0.06,,0.0,
0.01,,[787 173 379 379],,0.0,,0.01,,0.0,,0.92,,0.05,,0.0,
0.01,,[787 173 379 379],,0.0,,0.01,,0.0,,0.92,,0.05,,0.0,
0.01,,[788 174 377 377],,0.0,,0.01,,0.0,,0.93,,0.04,,0.01,
0.01,,[788 174 376 376],,0.0,,0.02,,0.0,,0.91,,0.05,,0.01,
0.01,,[790 174 375 375],,0.0,,0.02,,0.0,,0.92,,0.04,,0.01,
0.01,,[790 174 376 376],,0.0,,0.02,,0.0,,0.92,,0.04,,0.01,
0.01,,[790 174 375 375],,0.0,,0.02,,0.0,,0.92,,0.04,,0.01,
0.01,,[791 176 375 375],,0.0,,0.01,,0.0,,0.93,,0.04,,0.0,
0.01,,[792 177 372 372],,0.0,,0.02,,0.0,,0.9,,0.06,,0.01,
0.01,,[794 179 370 370],,0.0,,0.02,,0.0,,0.89,,0.06,,0.01,
0.01,,[793 179 372 372],,0.0,,0.02,,0.0,,0.9,,0.06,,0.01,
0.01,,[793 179 372 372],,0.0,,0.02,,0.0,,0.9,,0.06,,0.01,
0.01,,[797 178 373 373],,0.0,,0.02,,0.0,,0.91,,0.05,,0.01,
0.01,,[796 178 373 373],,0.0,,0.02,,0.0,,0.91,,0.05,,0.01,
0.01,,[797 179 372 372],,0.0,,0.02,,0.0,,0.91,,0.05,,0.01,
0.01,,[797 180 372 372],,0.0,,0.02,,0.0,,0.92,,0.04,,0.01,
0.01,,[797 180 372 372],,0.0,,0.02,,0.0,,0.92,,0.04,,0.01,
0.01,,[800 180 373 373],,0.0,,0.02,,0.0,,0.9,,0.05,,0.01,
0.01,,[800 180 371 371],,0.0,,0.02,,0.0,,0.92,,0.04,,0.01,
0.01,,[801 179 376 376],,0.0,,0.02,,0.0,,0.87,,0.08,,0.01,
0.02,,[801 179 376 376],,0.0,,0.02,,0.0,,0.87,,0.09,,0.01,
0.02,,[801 179 376 376],,0.0,,0.02,,0.0,,0.87,,0.09,,0.01,
0.01,,[800 177 378 378],,0.0,,0.02,,0.0,,0.89,,0.06,,0.02,
0.01,,[800 177 378 378],,0.0,,0.02,,0.0,,0.89,,0.06,,0.02,
0.01,,[799 182 376 376],,0.0,,0.01,,0.0,,0.94,,0.05,,0.0,
0.01,,[801 184 373 373],,0.0,,0.01,,0.0,,0.93,,0.05,,0.0,
0.01,,[801 184 373 373],,0.0,,0.01,,0.0,,0.93,,0.05,,0.0,
0.01,,[799 181 373 373],,0.0,,0.02,,0.0,,0.92,,0.05,,0.0,
0.01,,[799 181 373 373],,0.0,,0.02,,0.0,,0.92,,0.05,,0.0,
0.01,,[799 182 373 373],,0.0,,0.02,,0.0,,0.91,,0.06,,0.0,
0.01,,[800 182 371 371],,0.0,,0.02,,0.0,,0.92,,0.05,,0.01,
0.01,,[800 182 371 371],,0.0,,0.02,,0.0,,0.92,,0.05,,0.01,
0.01,,[801 183 369 369],,0.0,,0.01,,0.0,,0.93,,0.05,,0.01,
0.01,,[801 183 369 369],,0.0,,0.01,,0.0,,0.93,,0.05,,0.01,
0.01,,[800 181 372 372],,0.0,,0.02,,0.0,,0.92,,0.05,,0.01,
0.02,,[797 168 385 385],,0.0,,0.02,,0.0,,0.89,,0.07,,0.01,
0.01,,[800 171 379 379],,0.0,,0.02,,0.0,,0.9,,0.04,,0.02,
0.02,,[799 170 379 379],,0.0,,0.03,,0.0,,0.89,,0.05,,0.02,
0.02,,[799 170 379 379],,0.0,,0.03,,0.0,,0.88,,0.05,,0.02,
0.02,,[799 170 379 379],,0.0,,0.03,,0.0,,0.88,,0.05,,0.02,
0.01,,[800 171 379 379],,0.0,,0.03,,0.0,,0.86,,0.03,,0.07,
0.01,,[800 171 379 379],,0.0,,0.03,,0.0,,0.86,,0.03,,0.07,
0.01,,[801 169 376 376],,0.0,,0.18,,0.0,,0.46,,0.07,,0.28,
0.01,,[802 170 376 376],,0.0,,0.22,,0.0,,0.33,,0.05,,0.38,
0.01,,[801 169 376 376],,0.0,,0.17,,0.0,,0.47,,0.07,,0.28,
0.03,,[804 170 371 371],,0.0,,0.27,,0.0,,0.09,,0.02,,0.59,
0.02,,[802 168 374 374],,0.0,,0.31,,0.0,,0.08,,0.02,,0.57,
0.03,,[808 170 365 365],,0.0,,0.23,,0.06,,0.03,,0.01,,0.63,
0.04,,[808 170 365 365],,0.0,,0.24,,0.07,,0.03,,0.02,,0.6,
0.05,,[808 168 369 369],,0.0,,0.17,,0.09,,0.03,,0.01,,0.65,
0.02,,[810 172 359 359],,0.0,,0.07,,0.42,,0.01,,0.0,,0.48,
0.02,,[811 172 359 359],,0.0,,0.08,,0.46,,0.01,,0.0,,0.43,
0.0,,[811 171 355 355],,0.0,,0.0,,0.88,,0.0,,0.0,,0.12,
0.0,,[811 170 357 357],,0.0,,0.0,,0.91,,0.0,,0.0,,0.08,
0.0,,[811 170 357 357],,0.0,,0.0,,0.91,,0.0,,0.0,,0.08,
0.0,,[809 167 363 363],,0.0,,0.0,,0.95,,0.0,,0.0,,0.05,
0.0,,[810 168 362 362],,0.0,,0.0,,0.95,,0.0,,0.0,,0.05,
0.0,,[810 165 365 365],,0.0,,0.0,,0.94,,0.0,,0.0,,0.05,
0.0,,[809 164 366 366],,0.0,,0.0,,0.94,,0.0,,0.0,,0.06,
0.0,,[809 164 366 366],,0.0,,0.0,,0.94,,0.0,,0.0,,0.06,
0.0,,[808 165 367 367],,0.0,,0.0,,0.96,,0.0,,0.0,,0.04,
0.0,,[808 164 369 369],,0.0,,0.0,,0.97,,0.0,,0.0,,0.03,
0.0,,[806 165 365 365],,0.0,,0.0,,0.96,,0.0,,0.0,,0.04,
0.0,,[806 165 365 365],,0.0,,0.0,,0.96,,0.0,,0.0,,0.04,
0.0,,[806 165 365 365],,0.0,,0.0,,0.96,,0.0,,0.0,,0.04,
0.0,,[804 163 367 367],,0.0,,0.0,,0.96,,0.0,,0.0,,0.04,
0.0,,[803 164 367 367],,0.0,,0.0,,0.96,,0.0,,0.0,,0.04,
0.0,0.01,[803 166 364 364],[805 302 348 348],0.0,0.0,0.0,0.0,0.93,0.93,0.0,0.04,0.0,0.02,0.07,0.0
0.0,,[803 165 365 365],,0.0,,0.0,,0.95,,0.0,,0.0,,0.05,
0.0,,[803 165 365 365],,0.0,,0.0,,0.95,,0.0,,0.0,,0.05,
0.0,,[800 165 365 365],,0.0,,0.0,,0.92,,0.0,,0.0,,0.08,
0.0,,[801 165 365 365],,0.0,,0.0,,0.95,,0.0,,0.0,,0.05,
0.0,0.01,[802 166 364 364],[802 301 347 347],0.0,0.0,0.0,0.0,0.93,0.95,0.0,0.03,0.0,0.01,0.07,0.0
0.0,0.01,[802 166 364 364],[801 299 352 352],0.0,0.0,0.0,0.0,0.93,0.95,0.0,0.02,0.0,0.01,0.07,0.0
0.0,0.01,[802 166 364 364],[801 299 352 352],0.0,0.0,0.0,0.0,0.93,0.95,0.0,0.02,0.0,0.01,0.07,0.0
0.0,,[807 166 364 364],,0.0,,0.0,,0.94,,0.0,,0.0,,0.06,
0.0,,[808 167 362 362],,0.0,,0.0,,0.93,,0.0,,0.0,,0.07,
0.0,,[806 162 369 369],,0.0,,0.0,,0.96,,0.0,,0.0,,0.04,
0.0,,[805 162 369 369],,0.0,,0.0,,0.97,,0.0,,0.0,,0.03,
0.0,,[807 162 368 368],,0.0,,0.0,,0.97,,0.0,,0.0,,0.03,
0.0,,[808 160 370 370],,0.0,,0.0,,0.97,,0.0,,0.0,,0.03,
0.0,,[808 160 370 370],,0.0,,0.0,,0.97,,0.0,,0.0,,0.03,
0.0,,[807 160 370 370],,0.0,,0.0,,0.98,,0.0,,0.0,,0.02,
0.0,,[808 161 369 369],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[808 161 369 369],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[809 159 369 369],,0.0,,0.0,,0.98,,0.0,,0.0,,0.02,
0.0,0.0,[809 159 370 370],[796 272 383 383],0.0,0.0,0.0,0.0,0.98,0.99,0.0,0.0,0.0,0.0,0.02,0.0
0.0,0.0,[812 159 365 365],[801 281 370 370],0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.01,0.0,0.0,0.02,0.0
0.0,0.0,[812 159 365 365],[801 281 370 370],0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.01,0.0,0.0,0.02,0.0
0.0,0.0,[812 159 365 365],[801 281 370 370],0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.01,0.0,0.0,0.02,0.0
0.0,,[817 161 361 361],,0.0,,0.0,,0.98,,0.0,,0.0,,0.02,
0.0,,[817 161 361 361],,0.0,,0.0,,0.98,,0.0,,0.0,,0.02,
0.0,0.0,[814 161 363 363],[805 287 362 362],0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.01,0.0,0.0,0.02,0.0
0.0,0.0,[814 161 363 363],[805 287 362 362],0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.01,0.0,0.0,0.02,0.0
0.0,0.0,[814 161 363 363],[805 287 362 362],0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.01,0.0,0.0,0.02,0.0
0.0,0.0,[806 154 373 373],[803 283 371 371],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.01,0.0,0.0,0.01,0.0
0.0,0.0,[807 154 373 373],[803 283 371 371],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.01,0.0,0.0,0.01,0.0
0.0,,[812 160 366 366],,0.0,,0.0,,0.98,,0.0,,0.0,,0.02,
0.0,,[813 161 364 364],,0.0,,0.0,,0.98,,0.0,,0.0,,0.02,
0.0,,[813 161 364 364],,0.0,,0.0,,0.98,,0.0,,0.0,,0.02,
0.0,0.01,[808 162 368 368],[805 292 357 357],0.0,0.0,0.0,0.0,0.98,0.97,0.0,0.01,0.0,0.01,0.02,0.0
0.0,0.01,[808 162 367 367],[805 292 357 357],0.0,0.0,0.0,0.0,0.98,0.97,0.0,0.01,0.0,0.01,0.02,0.0
0.0,0.02,[806 161 369 369],[797 287 367 367],0.0,0.0,0.0,0.01,0.97,0.93,0.0,0.02,0.0,0.01,0.03,0.0
0.0,0.02,[806 161 369 369],[797 287 367 367],0.0,0.0,0.0,0.01,0.97,0.93,0.0,0.02,0.0,0.02,0.03,0.0
0.0,0.02,[806 161 369 369],[797 287 367 367],0.0,0.0,0.0,0.01,0.97,0.93,0.0,0.02,0.0,0.02,0.03,0.0
0.0,0.03,[802 164 368 368],[812 299 347 347],0.0,0.0,0.0,0.01,0.98,0.9,0.0,0.03,0.0,0.02,0.02,0.01
0.0,,[802 164 368 368],,0.0,,0.0,,0.98,,0.0,,0.0,,0.02,
0.0,,[804 167 362 362],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[804 167 363 363],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[802 164 368 368],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[799 163 368 368],,0.0,,0.0,,0.98,,0.0,,0.0,,0.02,
0.0,,[799 163 369 369],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,0.01,[803 166 366 366],[804 288 365 365],0.0,0.0,0.0,0.0,0.99,0.96,0.0,0.01,0.0,0.01,0.01,0.0
0.0,0.01,[803 166 366 366],[804 288 365 365],0.0,0.0,0.0,0.0,0.99,0.96,0.0,0.01,0.0,0.01,0.01,0.0
0.0,0.01,[803 166 366 366],[804 288 365 365],0.0,0.0,0.0,0.0,0.99,0.96,0.0,0.01,0.0,0.01,0.01,0.0
0.0,,[803 166 365 365],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[803 166 366 366],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[803 166 369 369],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[803 166 369 369],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[803 166 369 369],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[808 169 362 362],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[808 169 362 362],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[812 181 360 360],,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,[812 178 360 360],,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,[812 178 360 360],,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,[816 172 354 354],,0.0,,0.0,,0.98,,0.0,,0.0,,0.02,
0.0,,[816 172 354 354],,0.0,,0.0,,0.98,,0.0,,0.0,,0.02,
0.0,0.01,[817 173 355 355],[800 281 382 382],0.0,0.0,0.0,0.0,0.98,0.97,0.0,0.01,0.0,0.0,0.02,0.0
0.0,0.01,[817 173 355 355],[800 281 382 382],0.0,0.0,0.0,0.0,0.98,0.97,0.0,0.01,0.0,0.0,0.02,0.0
0.0,0.01,[817 173 355 355],[800 281 382 382],0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.01,0.0,0.0,0.02,0.0
0.0,0.01,[817 173 353 353],[796 273 393 393],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,[817 173 353 353],[791 268 401 401],0.0,0.0,0.0,0.0,0.99,0.98,0.0,0.01,0.0,0.0,0.01,0.01
0.0,0.01,[818 173 352 352],[799 273 392 392],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.01,[818 173 352 352],[799 273 392 392],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.01,[818 173 352 352],[799 273 392 392],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.01,[817 173 353 353],[806 280 377 377],0.0,0.0,0.0,0.0,0.99,0.98,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.01,[818 173 353 353],[806 280 377 377],0.0,0.0,0.0,0.0,0.99,0.98,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.01,[819 173 352 352],[803 282 377 377],0.0,0.0,0.0,0.0,0.99,0.97,0.0,0.01,0.0,0.0,0.01,0.0
0.0,0.01,[819 173 352 352],[800 281 382 382],0.0,0.0,0.0,0.0,0.99,0.97,0.0,0.01,0.0,0.0,0.01,0.0
0.0,0.01,[815 169 361 361],[803 282 377 377],0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.01,0.0,0.0,0.02,0.0
0.0,0.01,[817 171 356 356],[803 282 377 377],0.0,0.0,0.0,0.0,0.99,0.98,0.0,0.01,0.0,0.0,0.01,0.0
0.0,0.01,[817 171 356 356],[803 282 377 377],0.0,0.0,0.0,0.0,0.99,0.98,0.0,0.01,0.0,0.0,0.01,0.0
0.0,0.0,[814 171 358 358],[801 277 383 383],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,[814 171 358 358],[801 277 383 383],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,[814 171 358 358],[801 277 383 383],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,[815 172 355 355],[794 269 393 393],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,[815 172 355 355],[794 269 393 393],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,[814 173 355 355],[791 266 399 399],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.01,0.0,0.0,0.01,0.0
0.0,0.0,[814 173 355 355],[791 266 399 399],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.01,0.0,0.0,0.01,0.0
0.0,0.0,[814 173 355 355],[791 266 399 399],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.01,0.0,0.0,0.01,0.0
0.0,0.0,[814 169 360 360],[791 263 399 399],0.0,0.0,0.0,0.0,0.98,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,[814 169 360 360],[795 275 388 388],0.0,0.0,0.0,0.0,0.98,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,[817 172 357 357],[792 273 390 390],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,,[817 172 357 357],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[817 172 357 357],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,0.02,[814 169 363 363],[812 297 359 359],0.0,0.0,0.0,0.0,0.98,0.94,0.0,0.02,0.0,0.02,0.01,0.0
0.0,0.02,[815 170 361 361],[809 292 366 366],0.0,0.0,0.0,0.0,0.98,0.95,0.0,0.01,0.0,0.01,0.01,0.0
0.0,0.02,[814 169 365 365],[818 306 340 340],0.0,0.0,0.0,0.0,0.97,0.94,0.0,0.02,0.0,0.02,0.03,0.0
0.0,0.03,[814 169 365 365],[820 309 335 335],0.0,0.0,0.0,0.01,0.96,0.93,0.0,0.02,0.0,0.02,0.03,0.0
0.0,0.03,[814 169 365 365],[820 309 335 335],0.0,0.0,0.0,0.01,0.96,0.93,0.0,0.02,0.0,0.02,0.03,0.0
0.0,0.01,[812 166 368 368],[821 310 338 338],0.0,0.0,0.0,0.01,0.97,0.92,0.0,0.02,0.0,0.04,0.03,0.0
0.0,0.02,[812 166 368 368],[820 305 343 343],0.0,0.0,0.0,0.0,0.97,0.93,0.0,0.02,0.0,0.02,0.03,0.0
0.0,0.02,[817 168 365 365],[817 300 352 352],0.0,0.0,0.0,0.0,0.97,0.93,0.0,0.02,0.0,0.02,0.03,0.0
0.0,0.02,[817 168 365 365],[817 300 352 352],0.0,0.0,0.0,0.0,0.97,0.93,0.0,0.02,0.0,0.02,0.03,0.0
0.0,0.02,[817 168 365 365],[817 300 352 352],0.0,0.0,0.0,0.0,0.97,0.93,0.0,0.02,0.0,0.02,0.03,0.0
0.0,0.02,[817 169 363 363],[816 299 355 355],0.0,0.0,0.0,0.0,0.97,0.94,0.0,0.02,0.0,0.02,0.03,0.0
0.0,0.01,[817 169 363 363],[815 297 358 358],0.0,0.0,0.0,0.0,0.97,0.95,0.0,0.01,0.0,0.02,0.03,0.0
0.0,0.01,[815 168 368 368],[821 308 342 342],0.0,0.0,0.0,0.01,0.95,0.93,0.0,0.02,0.0,0.03,0.05,0.0
0.0,0.01,[815 168 368 368],[821 308 342 342],0.0,0.0,0.0,0.01,0.94,0.93,0.0,0.02,0.0,0.03,0.05,0.0
